,Pt3,Pt4,Force(100),Elasto(90),RopeAngle(100),Inclino(80)X,Inclino(80)Y,Inclino(81)X,Inclino(81)Y,Inclino(80)X_0_5,Inclino(80)Y_0_5,Inclino(81)X_0_5,Inclino(81)Y_0_5,Inclino(80)X_5_10,Inclino(80)Y_5_10,Inclino(81)X_5_10,Inclino(81)Y_5_10,Inclino(80)X_10_20,Inclino(80)Y_10_20,Inclino(81)X_10_20,Inclino(81)Y_10_20
BK01 M02,13.920664197372616,15.512441306782518,8.257983690070203,-61.23200576861909,24.553950817918178,-0.07348774115225098,0.0047877725588277515,0.042053737556656846,-0.007363803557864942,0.0009385459114683463,0.0011174539146690152,-8.327028828729513e-05,0.0020172027836465756,0.0010471874203200695,0.00023128869483010812,0.00019037364438392025,0.0017985322879386328,0.002266050520328973,0.00030169148753999295,-0.0005073933995944999,0.0020513422507327903
BK01 M03,10.565340836871421,12.668629937304958,6.768992821125125,-54.19150325623539,9.482682366061736,-0.06444597696850882,-0.002240594420380493,0.04206367889863809,-0.00018195826423941458,-0.000803572288564463,0.0009567367183328685,0.0012127119984678696,0.0004176907958464739,-0.0010809670459059762,0.002478546390554011,0.0007018477948151657,0.0006273900624848627,-0.0015730910488560303,0.0007473369646395001,0.001595118556668068,-0.00013817419674421767
BK01 M04,11.091460424027606,11.882978262854932,7.886592101079692,-47.92468960550158,15.717592230474192,-0.062099470476949366,0.008951060922505374,0.03960203375671362,-0.005543489271018353,0.000594857155859129,0.0006744285035962967,-0.0009090722089005344,-2.553569954836962e-05,0.00029809456976556995,-1.22399155558952e-05,-0.0009548745064492861,0.0007899763831340549,0.0003542049192974419,-0.0010164463273110034,-0.0004849858331287492,0.0020560263880377502
BK04 M02,17.94765582528403,16.642710504902922,7.179338735829916,-103.82829134810423,24.755554365806674,-0.08588916226311473,0.013026376061127266,0.06979405211796262,0.005707417901321597,-0.0008282006643990715,-0.0006931825101161801,0.0008650454771673065,-0.0010243488479648312,-0.0003936844985377246,-0.00015251211006260364,0.0006857166501413859,-0.002296458441577425,-0.0035245622591719124,0.0001420031911979081,0.000537648525583885,-0.0015083216124576336
BK04 M03,24.035011927777667,22.762519880671753,10.450830025432507,-136.99954944484548,13.236713074010764,-0.11812001253400657,0.017612784354359572,0.10508251566369405,0.01561210933512296,-0.0017693425937843584,0.0035566467665847225,-0.000509890638183866,0.0003822792865688569,-0.0026163634778042354,0.003784059419255667,-0.0002266882385891454,0.0006694948912765242,-0.004064958826239984,0.0034565719166882156,0.0018501584098123247,0.003476062509924352
BK04 M04,15.153633427409138,14.233388626552758,7.345012355246225,-86.67367140864373,7.908252752109429,-0.0685894122613426,0.010425372265156456,0.06767860387188841,0.015398784318904334,0.0002668284202896246,-0.0005101136685569971,0.00043332043567556665,-0.00025596195932285783,-0.0008888681199361252,0.0013037879417961986,0.0010291209953839987,0.0011184357187722237,-0.0007998996164560219,0.000636107035814344,0.0018127104368110339,0.002672944116460847
BK07 M02,25.22976016787293,24.376762273171302,,,,0.0021621106850489282,0.09195227100690617,-0.09184989889695613,0.004248023535136772,-0.0013067406901022657,-0.00019033023961773896,0.004964648563498082,-0.0024825402228381755,-0.006167044987914994,0.0002534422748724285,0.008706820553523276,-0.006203037604937236,-0.006278971666536511,-0.003412650777750444,0.01035503276489248,-0.005040083147854299
BK07 M03,12.44205889826759,13.702157393192069,7.840347084883925,-46.999439032264206,12.277510570090305,-0.0017846089248132104,0.033854602523131196,-0.0416587637674625,-0.0006803533311091123,-0.0014697300574091927,-0.003721522775273762,0.0009644937607266326,-0.000739657788563946,0.0003848858439756887,-0.003494298810096947,-0.0006957118440564445,0.0004839649362300507,-0.0011695021044763017,-0.004424908983825448,8.893003591362845e-05,-0.0008763374347016439
BK07 M04,14.44390494328339,13.777941550116944,,-53.28550617401744,,0.0018562290632155416,0.04353737275791502,-0.048078018708588785,-0.00025374069841430856,-0.0012057471680262542,0.0013049245422935621,0.0024562284325013025,-0.001125378579881062,-0.0011958802100062106,0.0029985882229341294,0.0015767529146405264,-0.0019297876403617524,-0.0009965980778149119,0.0026049261613242595,0.0011216420963967902,-0.0032234023915983126
BK08 M02,-8.053428687962041,-7.9666514520564995,3.025637966901383,-51.308110240570514,8.625428943213977,-0.014783890506787134,-0.04995810124860071,-0.04058523773859271,0.007807606867337608,-0.001849485123799376,0.0006602009528200477,0.0030103524874628956,-0.00039920241171048404,-0.003279721437489984,0.0003470231036752007,0.0016790238796783774,-0.0012462742181707212,-0.0044818125515336035,-0.00012538712300382904,0.0006895587095383837,0.000670510297070508
