,Pt3,Pt4,Force(100),Elasto(90),RopeAngle(100),Inclino(80)X,Inclino(80)Y,Inclino(81)X,Inclino(81)Y,Inclino(80)X_0_5,Inclino(80)Y_0_5,Inclino(81)X_0_5,Inclino(81)Y_0_5,Inclino(80)X_5_10,Inclino(80)Y_5_10,Inclino(81)X_5_10,Inclino(81)Y_5_10,Inclino(80)X_10_20,Inclino(80)Y_10_20,Inclino(81)X_10_20,Inclino(81)Y_10_20
BK01 M02,16.244079313094755,15.833493728113647,6.393307476833561,-61.583045873449144,0.6372084858842643,0.03737424312295389,-0.013521132138514731,-0.06505481644028946,0.009064797636951593,-0.0007089641980125285,-0.0010661205533788315,0.0011509658925583797,0.00041130649425407713,-0.0006888307858919065,0.000848459817692372,-0.0001989506171322327,-7.514448093355394e-05,-0.0009956929232790507,0.0005740508998534484,-0.0004740393468005319,0.0008635534425947345
BK01 M03,10.653395597139824,10.652625905409389,6.405200047593991,-42.995588853458685,20.900668276065964,0.02632488929457888,-0.015712583659643606,-0.04423667806614781,0.0027357279800515185,-0.00023941634076391028,-0.005932527140376079,0.0003441260940053895,-0.0023242491560100218,0.0006393689783409522,-0.007026660982032097,-2.705025451657389e-05,-0.0021248654930606918,-0.00032270382335009213,-0.005390565717324026,0.0002346968382735605,-0.0016022329261502685
BK01 M04,11.404290627031626,11.46742758086089,,-45.61081567922413,,0.027602613373914085,-0.011347235293385275,-0.0489939483649041,0.004244286304922045,0.00030820418530385637,-0.0007489723809456242,0.0003670380097219026,0.00052068956601926,0.0009317859286441897,-0.0026828412095024757,-0.0007941403491665652,0.00019021662419894546,0.0014849525505280514,-0.001153170859865705,-0.000740443544167486,-0.002608553953131612
BK01 M05,12.077530182325395,11.532577640381085,5.739740827981423,-51.24541588866253,3.5405301342654445,0.030490519065463656,-0.009064616659999348,-0.047882799262416176,0.0033909573592603706,-0.0009376777113370083,-0.00028726979829870426,0.0008646306708251639,0.0018020222075385895,-0.0014894244669576373,0.0003420946256064535,-6.968714089025958e-05,0.0004899871180110674,-0.0021206090285308845,-0.00032197019496657775,0.0004524735095354632,0.0013197562025209475
BK04 M02,19.111246925391523,18.114868987343552,7.557233128892974,-109.53099712037309,16.975208690893563,-0.0934752467395397,0.014566297548915802,0.007740911015350362,-0.07513803449849295,2.0197324223856713e-05,0.001037033244387298,-5.914884636604823e-05,0.0015207151364107813,-0.00046837166345108994,0.0010449417119679936,-0.0010738925137383972,0.0022820539983234083,0.0004917776794357506,0.0022889826596853113,-0.00022250982869520381,0.002927854322367411
BK04 M03,18.06485191673894,17.216850967084866,6.326454165211438,-98.23520781803686,10.62635605551144,-0.08650913903891606,0.014142815539141488,0.009640749733911998,-0.06980770675623879,0.0012600331787822271,-0.0007916310298034634,-0.00037427203832934023,-0.0002095082767031693,0.002463441706742848,0.0008528345087727145,-0.00047460450873504297,0.0006545956219367299,-0.008137791343706544,0.006669681282800117,-0.0019084609208650035,-0.004472096939841196
BK04 M04,17.38150215331032,16.425603596851506,7.143099196518605,-98.81088384592321,7.360778898743111,-0.08283579891163076,0.01224131486686953,0.0058455288594652256,-0.07226909121402281,-0.001846602757830462,1.0983639558092226e-05,-0.000863244700561771,-0.0025279210738858742,0.0010582856710356504,-4.261140556597567e-05,0.00013550599929316898,-0.0014082417342820063,-0.001571467141260941,0.002243982297597929,-0.001368215954819801,-0.003879113741304217
BK07 M02,29.105099217307224,29.400282544970807,5.838133905128799,-24.530717676673653,44.28986573456787,-0.00021217994640300436,-0.09248038479999353,-0.10280177418682733,0.005080670288313783,0.0,-0.020654586700856382,-0.020654586700856382,0.0,0.0003096750682784621,-0.06061352563112571,-0.060756938414026636,-0.00035202136984695487,0.0016663028617767124,-0.07345812297970361,-0.07351079823822622,-0.002041185604906759
BK07 M03,10.736215041582742,5.820990671295968,10.567408002663619,-27.939731592483287,13.279880813666173,-0.0002198613588493909,-0.06357152205436878,-0.09014627292023077,0.009613137478858653,0.00024553051473517743,0.00023392011514372402,-0.0009964427583678641,7.368402454344786e-05,-0.0006670303795198622,0.0007864245242569805,-0.0013745657328977712,-0.000859190986442032,-0.00033804886718353513,0.0006883199399169368,-0.000980153577775809,-0.0008757385244226494
BK07 M04,17.310870735699893,17.8540367790852,7.748593462581101,-26.553450270336352,17.380928081321105,-0.006248546588143143,-0.046285818550821554,-0.05271548878882157,0.01585908065955192,1.957893911550605e-05,-0.004567595254899424,0.000907230945105404,-0.0007372200746884672,-0.0001400934012429076,-0.004209010195488686,0.0016881817985521775,-0.002583241757502241,0.0010513456485750942,-0.004235233728191911,0.001736105783067897,-0.001881392002349811
