,Pt3,Pt4,Force(100),Elasto(90),RopeAngle(100),Inclino(80)X,Inclino(80)Y,Inclino(81)X,Inclino(81)Y,Inclino(80)X_0_5,Inclino(80)Y_0_5,Inclino(81)X_0_5,Inclino(81)Y_0_5,Inclino(80)X_5_10,Inclino(80)Y_5_10,Inclino(81)X_5_10,Inclino(81)Y_5_10,Inclino(80)X_10_20,Inclino(80)Y_10_20,Inclino(81)X_10_20,Inclino(81)Y_10_20
BK01 M02,-15.036933682287435,-14.469567243545455,,-63.597780668200045,,-0.07871969176807443,-0.02178467452471203,0.04819668967955243,0.007461263925277292,0.0003717497053430235,-0.0021835123278733538,-0.0003206964716801234,-0.001684374915372299,-0.0004628405267836612,-0.0020593269182727363,-0.0005287201945207739,-0.0026284975992626348,0.0006497243569710486,-0.0017479702743411086,-6.155500098312769e-06,-0.002019347051139862
BK01 M03,-13.34226860300567,-12.741110473872327,7.299971185771181,-54.303586287419265,2.8169121866130618,-0.06713940904934938,-0.01167900972376749,0.043968914577136135,0.006292759325638696,0.0003178139888149179,0.0016444343720091142,-0.0005899259013295641,1.8578074501977555e-05,0.0003725256874221185,0.0008844031812612769,-0.000836879937776766,0.0002910846488320046,0.0018089946059504126,0.00013305995116372633,-0.0019980130292093314,0.0007651211470805025
BK01 M04,-13.192767879498794,-12.60043849737425,7.884980541179135,-54.5117216403558,5.584135446636047,-0.06940797377150504,-0.018771295278458878,0.04695687659673078,0.007006741956948452,0.0016890053635398433,-0.0018608942800477422,0.0009204897171909427,0.0015029473578722057,0.0002215680387860405,-0.0025567226616253526,0.0022855634659909776,0.002592738781510277,-0.0009023445406461279,-0.0023271104905852385,0.0028500786437972094,0.003624120394343409
BK04 M02,-22.77539721285067,-21.670112631134092,7.7714805040399675,-114.11873084751191,11.331558531139802,-0.1607046274254465,0.009873467438725733,0.14137052188349775,0.009695518746922187,-0.0017171439061077123,0.000967958233381568,-0.00018715907728941315,-0.0013401628858604288,-0.0022910258312287108,-0.0007570895017738127,-0.0005490522505658122,-0.0009763815628995877,-0.0021582260842082455,3.5463618885317616e-05,0.0012334438468678487,-0.0008455339308124711
BK04 M03,-20.565062346332432,-19.42460656830979,7.08520305510773,-100.81403693950205,8.751356808323346,-0.1511355151242214,0.006416770564821281,0.13063781502773755,0.014942922002132784,-0.002242534276374847,0.0013485680512810784,0.001540876473941884,-0.0012272124171560097,-0.00256340340720784,0.0013314477994855708,0.0008021761423182722,-0.0014226298377515126,-0.004132048988457783,0.0006378038086275111,-0.00035826013996360126,-0.0006158627180478131
BK04 M04,-20.613247195957815,-19.456262358106898,7.112118035937638,-101.51707332983678,-1.195646098661934,-0.1454238911963769,0.006053272230141208,0.13045458495251816,0.007224764019913903,-0.001567129842734138,-0.001741195347481799,0.0013930341599146172,6.801670301723005e-05,-0.0008565858303410138,-0.0012179346102408973,-0.0019729368160864035,-0.002166666772233068,-0.001894612745636587,-0.0003141081618017527,-0.003123441593160812,-0.0018627725494564523
BK07 M02,-31.510986106483035,-30.85802717392315,,-95.7547423301553,,0.009485115026317175,-0.1286193829501729,-0.15812022727526767,0.008204540826803584,0.00028816561369433266,0.002048481847680628,-0.005291524063537856,7.977378213002227e-05,-0.0003633544405478943,0.0030809382556618477,-0.004969522001593122,-0.0012227569170478443,-0.00029231311047528825,0.001551579644053581,-0.005182581369921576,-0.0007244192187150537
BK07 M03,-15.876162191763934,-15.45157750568428,7.209686230127809,-49.92164354942421,1.4756287121091973,0.004061567356964792,-0.05830756699615479,-0.06522709947839583,-0.0012684731108457404,-0.0025440892634995696,-0.0010029586748054656,0.0017973429205394474,0.0001228594852172383,-0.003932541479258474,-0.0006198651016641794,0.003000836588564363,0.000648771006377985,-0.00392191873353728,-0.0011601591016279869,0.0035142862665962418,-0.0005901727451802563
BK07 M04,-15.727731184888464,-15.38814380647409,7.295345343435224,-49.3824094039581,-2.0370417458080907,0.006561743571126417,-0.058719479633980644,-0.07493406246026323,0.003106804923730471,0.0008674582964137916,-0.00028279838611921745,0.0014000884965485946,0.0021838079007059402,0.00014417376277673142,-0.0006877910227462739,5.3966070662279714e-06,0.002517136819901361,0.00011658940297262188,-0.0006113070088118211,-0.0018566563854713024,0.0007276291166396785
BK07 M05,-26.073285668018052,-25.590077224140522,,-77.05068114711604,,0.007086431342588343,-0.1081536790023892,,,-0.001375887707773714,0.0007600454756549811,,,-0.00035906388365043116,0.0003787189423919237,,,-0.00020905916318617482,0.00034156500661640366,,
