tree,pulling_direction,pd_tree,height_of_anchorage,angle_of_anchorage,distance_of_anchorage,height_of_pt
1,1,28,8.5,22.8,17.4,4.14
4,7,28,6.7,13.2,23,3.35
7,24,28,9.8,14.5,32.5,4.78
8,331,1,5.95,12,19,2.95
9,356,1,5.5,11.6,20.4,2.74
10,359,5,5.63,15.3,14.8,2.85
11,358,5,6.95,14.8,20.4,3.58
12,13,5,4.6,7.8,25.4,2.24
13,14,9,7.55,20,17,3.62
14,341,9,6.25,12.5,18.4,3.1
16,300,9,5,7,23.4,2.47
21,353,11,7.52,10.5,28.8,3.6
24,350,12,7.08,6,37,3.49
