date,tree,measurement,probe,freq,err,length
2021-03-22,01,2,"('Pt3', 'Y0')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,"('Pt4', 'Y0')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,"('BL44', 'Pt0AY')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,"('BL45', 'Pt0AY')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,"('BL46', 'Pt0AY')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,"('BL47', 'Pt0AY')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,"('BL48', 'Pt0AY')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,"('BL49', 'Pt0AY')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,"('BL50', 'Pt0AY')",0.28694404591104733,0.14347202295552366,6.959999999998622
2021-03-22,01,2,"('BL51', 'Pt0AY')",0.29239766081871343,0.14619883040935672,6.829999999998641
2021-03-22,01,2,"('BL52', 'Pt0AY')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,"('BL53', 'Pt0AY')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,"('BL54', 'Pt0AY')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,"('BL55', 'Pt0AY')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,"('BL56', 'Pt0AY')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,"('BL57', 'Pt0AY')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,"('BL58', 'Pt0AY')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,"('BL59', 'Pt0AY')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,"('BL60', 'Pt0AY')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,"('BL61', 'Pt0AY')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,"('BL62', 'Pt0AY')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,"('BL63', 'Pt0AY')",0.8928571428571428,0.2976190476190476,3.3499999999993335
2021-03-22,01,2,"('BL64', 'Pt0AY')",1.185770750988142,0.39525691699604737,2.5199999999995057
2021-03-22,01,2,"('BL65', 'Pt0AY')",0.7905138339920947,0.39525691699604737,2.5199999999995057
2021-03-22,01,2,"('BL66', 'Pt0AY')",1.1538461538461537,0.3846153846153846,2.5899999999994847
2021-03-22,01,2,"('BL67', 'Pt0AY')",0.2801120448179272,0.1400560224089636,7.1299999999985815
2021-03-22,01,3,"('Pt3', 'Y0')",0.2922374429223744,0.0182648401826484,54.73999999998911
2021-03-22,01,3,"('Pt4', 'Y0')",0.2922374429223744,0.0182648401826484,54.73999999998911
2021-03-22,01,3,"('BL44', 'Pt0AY')",0.2922374429223744,0.0182648401826484,54.73999999998911
2021-03-22,01,3,"('BL45', 'Pt0AY')",0.2922374429223744,0.0182648401826484,54.73999999998911
2021-03-22,01,3,"('BL46', 'Pt0AY')",0.2922374429223744,0.0182648401826484,54.73999999998911
2021-03-22,01,3,"('BL47', 'Pt0AY')",0.2922374429223744,0.0182648401826484,54.73999999998911
2021-03-22,01,3,"('BL48', 'Pt0AY')",0.4640371229698375,0.2320185614849187,4.2999999999991445
2021-03-22,01,3,"('BL49', 'Pt0AY')",0.25094102885821834,0.12547051442910917,7.959999999998416
2021-03-22,01,3,"('BL50', 'Pt0AY')",1.0452961672473866,0.3484320557491289,2.859999999999431
2021-03-22,01,3,"('BL51', 'Pt0AY')",0.6968641114982578,0.3484320557491289,2.859999999999431
2021-03-22,01,3,"('BL52', 'Pt0AY')",0.2922374429223744,0.0182648401826484,54.73999999998911
2021-03-22,01,3,"('BL53', 'Pt0AY')",0.2922374429223744,0.0182648401826484,54.73999999998911
2021-03-22,01,3,"('BL54', 'Pt0AY')",0.2922374429223744,0.0182648401826484,54.73999999998911
2021-03-22,01,3,"('BL55', 'Pt0AY')",0.2922374429223744,0.0182648401826484,54.73999999998911
2021-03-22,01,3,"('BL56', 'Pt0AY')",0.2922374429223744,0.0182648401826484,54.73999999998911
2021-03-22,01,3,"('BL57', 'Pt0AY')",0.2922374429223744,0.0182648401826484,54.73999999998911
2021-03-22,01,3,"('BL58', 'Pt0AY')",0.2922374429223744,0.0182648401826484,54.73999999998911
2021-03-22,01,3,"('BL59', 'Pt0AY')",0.2922374429223744,0.0182648401826484,54.73999999998911
2021-03-22,01,3,"('BL60', 'Pt0AY')",0.2922374429223744,0.0182648401826484,54.73999999998911
2021-03-22,01,3,"('BL61', 'Pt0AY')",0.0365296803652968,0.0182648401826484,54.73999999998911
2021-03-22,01,3,"('BL62', 'Pt0AY')",0.0365296803652968,0.0182648401826484,54.73999999998911
2021-03-22,01,3,"('BL63', 'Pt0AY')",0.2922374429223744,0.0182648401826484,54.73999999998911
2021-03-22,01,3,"('BL64', 'Pt0AY')",0.41841004184100417,0.20920502092050208,4.769999999999051
2021-03-22,01,3,"('BL65', 'Pt0AY')",1.6129032258064517,0.806451612903226,1.2299999999997553
2021-03-22,01,3,"('BL66', 'Pt0AY')",1.6129032258064517,0.806451612903226,1.2299999999997553
2021-03-22,01,3,"('BL67', 'Pt0AY')",0.2922374429223744,0.0182648401826484,54.73999999998911
